k_2,k_5,k_10
2377774.972326284,886832.0303522326,448978.7862637532
2506795.8877523523,909740.6719547883,431663.26701368054
2346897.7639369257,880493.7696872484,429018.9480677342
2317492.2684410904,918001.9940890886,434475.5730295669
2629622.2127423766,911460.5855078184,433761.6384777161
2463654.5212593237,924311.7768096576,429359.2574866974
2258700.318213034,881361.0506190851,441835.8679878593
2407571.96117173,903247.9439338241,438082.2307708036
2186124.439936367,879475.1256255533,425895.9320577917
2396733.032711358,890407.334329683,437379.5629429075
2289631.0982656945,901588.0511597896,437693.4539839777
2247497.816055893,882038.0625731992,436017.2602532222
2339865.4299727473,870946.5887136196,437844.22141242103
2364773.77227122,864254.3343550108,457128.651623221
2148415.8299126215,868412.220815651,434595.2502832763
2349079.8501371187,921727.1697495388,454709.5520586372
2292927.2601509374,920827.7135264064,439474.8133433322
2404238.18899464,905054.4690605426,438535.9829453813
2447749.3543168465,917251.090541215,440228.32425532315
2160024.7218650375,872268.7377421181,452537.22260636266
2251309.7891472913,922912.3584038892,436618.62307959486
2315103.708622828,898845.3877429847,447402.4600669822
2258359.579312279,862191.1477311812,443263.5679915379
2317749.6889941827,890039.981722779,435444.0907055697
2195388.0772644607,891340.3727772324,444587.9735681584
2111883.4428142696,888000.7616549203,444309.23331934045
2299268.549744959,889882.8117278601,447018.932563192
2306487.719079731,874320.5885020773,424279.0060257646
2369547.7125069825,898568.2000459196,425331.7110080051
2198901.0496909805,862422.2547072843,443649.669909451
